Designator,Mid X,Mid Y,Layer,Rotation
"R38","28.961mm","-106.7434mm","Top",135
"R39","25.2969mm","-106.7434mm","Top",135
"R40","21.6328mm","-106.7434mm","Top",135
"R41","251.0955mm","-109.5735mm","Top",225
"R42","254.7595mm","-109.5735mm","Top",225
"R43","258.4237mm","-109.5735mm","Top",225
"R44","262.0878mm","-109.5735mm","Top",225
"R45","265.7517mm","-109.5735mm","Top",225
"R46","269.4158mm","-109.5735mm","Top",225
"R47","273.0801mm","-109.5735mm","Top",225
"R48","276.7441mm","-109.5735mm","Top",225
"R49","280.4081mm","-109.5735mm","Top",225
"R50","283.5685mm","-109.5735mm","Top",225
"R51","287.7362mm","-109.5735mm","Top",225
"R52","290.8172mm","-109.5735mm","Top",225
"R53","295.0644mm","-109.5735mm","Top",225
"R54","298.4185mm","-109.5735mm","Top",225
"R55","302.3927mm","-109.5735mm","Top",225
"R56","306.0566mm","-109.5735mm","Top",225
"R57","309.1374mm","-109.5735mm","Top",225
"R58","313.3849mm","-109.5735mm","Top",225
"R59","317.0489mm","-109.5735mm","Top",225
"R60","320.7131mm","-109.5735mm","Top",225
"R61","324.3771mm","-109.5735mm","Top",225
"R62","328.0411mm","-109.5735mm","Top",225
"R63","331.7053mm","-109.5735mm","Top",225
"R64","335.3693mm","-109.5735mm","Top",225
"R65","338.7576mm","-109.5735mm","Top",225
"R66","342.1459mm","-109.5735mm","Top",225
"R67","345.5344mm","-109.5735mm","Top",225
"R68","348.9227mm","-109.5735mm","Top",225
"R69","352.3109mm","-109.5735mm","Top",225
"R70","355.6992mm","-109.5735mm","Top",225
"R71","359.0877mm","-109.5735mm","Top",225
"R72","362.476mm","-109.5735mm","Top",225
"U1","171.2408mm","-74.5063mm","Top",90
"U2","192.0535mm","-80.4908mm","Top",0
"U3","192.0535mm","-136.3609mm","Top",180
"U4","213.9657mm","-141.2609mm","Top",270
"U5","122.982mm","-112.7254mm","Top",270
"U6","94.3311mm","-112.7254mm","Top",270
"U7","64.2243mm","-112.7254mm","Top",270
"U8","36.3407mm","-112.7254mm","Top",270
"U9","292.4728mm","-103.2413mm","Top",90
"U10","263.6112mm","-103.2413mm","Top",90
"U11","351.9967mm","-103.2413mm","Top",90
"U12","323.6757mm","-103.2413mm","Top",90
"U13","195.0535mm","-149.7898mm","Top",0
